applicationIdentifier	regex	formatString	description	label	note	fnc1Required
8004	"^8004([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$"	N4+X..30	Global Individual Asset Identifier (GIAI)	GIAI		TRUE
8005	^8005(\d{6})$	N4+N6	Price per unit of measure	PRICE PER UNIT		TRUE
8006	^8006(\d{14})(\d{2})(\d{2})$	N4+N14+N2+N2	Identification of an individual trade item piece (ITIP)	ITIP		TRUE
8007	"^8007([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,34})$"	N4+X..34	International Bank Account Number (IBAN)	IBAN		TRUE
8008	"^8008(\d{8})(\d{0,4})$"	N4+N8[+N..4]	Date and time of production	PROD TIME		TRUE
8009	"^8009([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,50})$"	N4+X..50	Optically Readable Sensor Indicator	OPTSEN		TRUE
8010	"^8010([\x23\x2D\x2F\x30-\x39\x41-\x5A]{5,30})$"	N4+Y..30	Component/Part Identifier (CPID)	CPID		TRUE
8011	"^8011(\d{0,12})$"	N4+N..12	Component/Part Identifier serial number (CPID SERIAL)	CPID SERIAL		TRUE
8012	"^8012([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N4+X..20	Software version	VERSION		TRUE
8013	"^8013([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,25})$"	N4+X..25	Global Model Number (GMN)	"GMN (for medical devices, the default, global data title is BUDI-DI)"		TRUE
8017	^8017(\d{18})$	N4+N18	Global Service Relation Number (GSRN) to identify the relationship between an organisation offering services and the provider of services	GSRN - PROVIDER		TRUE
8018	^8018(\d{18})$	N4+N18	Global Service Relation Number (GSRN) to identify the relationship between an organisation offering services and the recipient of services	GSRN - RECIPIENT		TRUE
8019	"^8019(\d{0,10})$"	N4+N..10	Service Relation Instance Number (SRIN)	SRIN		TRUE
8020	"^8020([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,25})$"	N4+X..25	Payment slip reference number	REF No.		TRUE
8026	^8026(\d{14})(\d{2})(\d{2})$	N4+N14+N2+N2	Identification of pieces of a trade item (ITIP) contained in a logistic unit	ITIP CONTENT		TRUE
8110	"^8110([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,70})$"	N4+X..70	Coupon code identification for use in North America			TRUE
8111	^8111(\d{4})$	N4+N4	Loyalty points of a coupon	POINTS		TRUE
8112	"^8112([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,70})$"	N4+X..70	Paperless coupon code identification for use in North America			TRUE
8200	"^8200([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,70})$"	N4+X..70	Extended Packaging URL	PRODUCT URL		TRUE
90	"^90([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$"	N2+X..30	Information mutually agreed between trading partners	INTERNAL		TRUE
91	"^91([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$"	N2+X..90	Company internal information	INTERNAL		TRUE
92	"^92([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$"	N2+X..90	Company internal information	INTERNAL		TRUE
93	"^93([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$"	N2+X..90	Company internal information	INTERNAL		TRUE
94	"^94([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$"	N2+X..90	Company internal information	INTERNAL		TRUE
95	"^95([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$"	N2+X..90	Company internal information	INTERNAL		TRUE
96	"^96([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$"	N2+X..90	Company internal information	INTERNAL		TRUE
97	"^97([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$"	N2+X..90	Company internal information	INTERNAL		TRUE
98	"^98([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$"	N2+X..90	Company internal information	INTERNAL		TRUE
99	"^99([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$"	N2+X..90	Company internal information	INTERNAL		TRUE
